,host_response_rate,host_acceptance_rate,price,availability_365,number_of_reviews,review_scores_cleanliness,review_scores_communication,review_scores_location,reviews_per_month,room_type
10270,100.0,97.0,528.0,342,20.2,4.63,4.77,4.9,3.67,Entire home/apt
10271,94.5,100.0,1377.0,362,4.0,4.75,4.5,5.0,0.14,Entire home/apt
10272,94.5,100.0,1377.0,362,4.0,4.8,4.5,4.75,0.2,Entire home/apt
10273,100.0,97.0,1300.0,351,41.0,4.88,4.9,4.83,1.31,Entire home/apt
10274,100.0,96.0,950.0,271,23.0,4.74,4.91,4.87,0.75,Entire home/apt
10275,100.0,100.0,461.0,365,50.0,4.88,4.76,4.96,1.6,Entire home/apt
10276,94.5,100.0,1377.0,362,1.0,4.8,4.9,4.9,0.09,Entire home/apt
10277,100.0,100.0,3156.0,57,84.0,4.95,4.85,4.98,2.87,Entire home/apt
10278,99.0,99.0,2468.0,90,20.2,4.8,4.82,4.92,1.4,Entire home/apt
10279,100.0,100.0,2337.0,362,27.0,4.33,4.9,4.74,0.87,Entire home/apt
10280,100.0,100.0,1110.0,174,59.0,4.81,4.93,4.97,2.05,Private room
